912,2,3
913,1,2
914,14,28
915,0,1
916,1,2
917,36,71
918,19,35
919,0,2
920,0,2
921,0,1
922,0,2
923,1,2
924,0,1
925,11,15
926,0,2
927,1,1
928,2,3
929,0,1
930,3,8
931,1,2
932,1,1
933,0,1
934,0,1
935,11,19
936,5,9
937,36,69
938,37,71
939,0,1
940,0,2
941,0,1
942,1,1
943,19,34
944,3,6
945,0,1
946,1,1
947,11,18
948,1,2
949,7,12
950,2,2
951,0,1
952,0,1
953,1,4
954,6,20
955,0,1
956,0,1
957,16,28
958,0,1
959,0,1
960,0,1
961,1,2
962,1,3
963,13,29
964,1,2
965,6,12
966,1,2
967,1,3
968,1,1
969,1,2
970,1,2
971,1,4
972,0,1
973,0,1
974,14,29
975,4,9
976,1,1
977,0,1
978,0,1
979,5,7
980,1,1
981,1,2
982,3,8
983,17,30
984,12,18
985,1,7
986,0,1
987,1,4
988,2,4
989,0,2
990,1,1
991,0,1
992,4,6
993,0,1
994,0,1
995,8,15
996,2,5
997,0,1
998,0,3
999,2,4
1000,7,14
1001,0,1
1002,6,13
1003,0,1
1004,2,4
1005,18,36
1006,1,1
1007,0,1
1008,6,12
1009,0,1
1010,17,32
1011,1,2
1012,2,3
1013,3,10
1014,0,1
1015,6,12
1016,0,2
1017,1,2
1018,16,27
1019,24,44
1020,0,1
1021,0,1
1022,7,14
1023,4,8
1024,0,1
1025,2,2
1026,1,2
1027,16,28
1028,1,1
1029,1,1
1030,0,1
1031,0,1
1032,0,1
1033,13,23
1034,1,1
1035,0,1
1036,0,1
1037,0,1
1038,5,8
1039,1,3
1040,0,1
1041,2,2
1042,3,5
1043,0,1
1044,22,33
1045,0,1
1046,2,6
1047,20,30
1048,3,6
1049,0,1
1050,11,29
1051,1,1
1052,0,1
1053,0,1
1054,0,1
1055,2,2
1056,9,16
1057,0,1
1058,18,32
1059,1,3
1060,6,10
1061,20,33
1062,2,5
1063,1,2
1064,1,1
1065,0,1
1066,4,7
1067,0,1
1068,5,6
1069,1,1
1070,7,16
1071,8,11
1072,2,5
1073,2,3
1074,0,1
1075,0,1
1076,22,38
1077,1,1
1078,9,14
1079,11,21
1080,2,7
1081,2,2
1082,0,1
1083,1,5
1084,3,6
1085,0,1
1086,0,3
1087,0,2
1088,0,1
1089,1,2
1090,0,1
1091,1,1
1092,0,1
1093,27,50
1094,6,8
1095,0,1
1096,16,31
1097,6,9
1098,0,1
1099,42,72
1100,1,4
1101,0,1
1102,1,6
1103,1,5
1104,0,1
1105,1,2
1106,1,2
1107,1,3
1108,1,2
1109,13,21
1110,0,1
1111,0,1
1112,17,33
1113,1,1
1114,25,35
1115,1,2
1116,2,3
1117,9,15
